開始時刻,（Attention) このアクティビティの内容に興味を持てましたか？,（Relevance）このアクティビィティの内容は親しみやすいものでしたか？  または何かに使えそうですか？,（Confidence）このアクティビィティは難しかったですか？,（Satisfaction）このアクティビィティをやり遂げたことで達成感は得られましたか？,"(任意) コメント等を自由に記入して下さい。

(注) コメントは個人が特定されるもの等を除き原則Webで公開されます。もし公開されたくない場合はコメントの後ろに (非公開) と書いて下さい。"
5/1/17 13:53:56,NO,YES,NO,NO,
5/1/17 13:53:38,YES,YES,YES,NO,
5/1/17 13:52:58,NO,NO,YES,NO,（非公開）
5/1/17 13:53:28,YES,YES,NO,NO,特に無いです
5/1/17 13:52:58,YES,YES,NO,YES,
5/1/17 13:53:07,YES,YES,NO,YES,表計算ソフトの使い方がわかった。
5/1/17 13:51:56,YES,YES,YES,YES,
5/1/17 13:52:02,YES,YES,NO,YES,
5/1/17 13:51:58,YES,YES,NO,NO,
5/1/17 13:52:01,YES,NO,NO,YES,
5/1/17 13:52:41,NO,YES,NO,YES,
5/1/17 13:52:39,YES,YES,NO,YES,
5/1/17 13:52:11,YES,YES,YES,YES,"こんにちは。
表計算ソフトを使った演習はとても興味がわきました。"
5/1/17 13:56:37,YES,YES,YES,YES,特になし
5/1/17 13:52:54,NO,YES,NO,YES,
5/1/17 13:56:40,YES,YES,YES,YES,特になし
5/1/17 13:52:14,YES,YES,YES,YES,(非公開)
5/1/17 13:49:16,NO,YES,NO,NO,表計算の方法とグラフの作り方の確認ができた！！ｗ
5/1/17 13:53:07,YES,NO,YES,YES,"とても理解が深まった。おかげで数学が好きになった。これからは毎日数学を勉強したいと思う。
この授業の影響で将来の夢は数学者になった。嘘です。途中までは本当です。（公開）
"
5/1/17 13:53:49,YES,YES,YES,YES,
5/1/17 13:58:36,YES,YES,YES,NO,"チームで協力できてよかった













"
5/1/17 14:00:09,NO,NO,NO,NO,特になし
5/1/17 13:55:02,YES,YES,YES,YES,
5/1/17 13:56:57,YES,YES,NO,YES,特になし
,,,,,
YES,18,20,11,16,
NO,6,4,13,8,
