開始時刻,（Attention) このアクティビティの内容に興味を持てましたか？,（Relevance）このアクティビィティの内容は親しみやすいものでしたか？  または将来何かに使えそうな感じがしますか？,（Confidence）このアクティビィティは簡単でしたか？,（Satisfaction）このアクティビィティをやり遂げたことで達成感は得られましたか？,"(任意) コメント等を自由に記入して下さい。

(注) コメントは個人が特定されるもの等を除き原則Webで公開されます。もし公開されたくない場合はコメントの後ろに (非公開) と書いて下さい。"
6/13/17 11:04:04,YES,YES,YES,YES,
6/13/17 11:04:20,YES,YES,YES,YES,
6/13/17 11:04:53,YES,YES,YES,YES,
6/13/17 11:04:53,YES,YES,YES,YES,
6/13/17 11:06:02,YES,YES,YES,YES,
6/13/17 11:07:03,YES,YES,NO,YES,
6/13/17 11:06:16,YES,YES,YES,YES,
6/13/17 11:06:00,YES,YES,YES,YES,楽しかった
6/13/17 11:03:50,YES,YES,YES,YES,
6/13/17 11:07:02,NO,YES,YES,YES,
6/13/17 11:06:00,YES,YES,YES,YES,
6/13/17 11:04:36,YES,YES,YES,YES,good : - )
6/13/17 11:09:07,YES,YES,YES,YES,
6/13/17 11:09:10,YES,YES,YES,YES,
6/13/17 11:10:39,YES,YES,YES,YES,
6/13/17 11:10:39,YES,NO,YES,YES,
6/13/17 11:12:17,YES,NO,YES,NO,
6/13/17 11:13:30,YES,YES,YES,YES,
6/13/17 11:13:30,YES,YES,YES,YES,
6/13/17 11:15:53,YES,YES,YES,YES,
6/13/17 11:13:18,YES,YES,NO,YES,(非公開)
6/13/17 11:15:53,YES,YES,NO,YES,
6/13/17 11:16:12,YES,YES,YES,YES,
6/13/17 11:15:59,YES,YES,NO,NO,
6/13/17 11:16:20,YES,YES,NO,YES,
6/13/17 11:16:07,YES,YES,YES,YES,
6/13/17 11:16:47,YES,YES,YES,YES,
6/13/17 11:10:56,YES,YES,YES,YES,(´；ω；｀)ｳｯ…
6/13/17 11:16:39,NO,NO,NO,NO,⁽⁽◝( •௰• )◜⁾⁾≡₍₍◞( •௰• )◟₎₎
6/13/17 11:18:02,YES,YES,YES,YES,
6/13/17 11:17:58,YES,NO,NO,YES,
6/13/17 11:18:23,YES,NO,NO,NO,
6/13/17 11:18:48,YES,YES,YES,YES,
6/13/17 11:15:51,YES,YES,YES,NO,Enter your answer
6/13/17 11:17:03,YES,YES,YES,NO,コメントが読み込めませんでした
6/13/17 11:19:31,YES,YES,YES,YES,
,,,,,
YES,34,31,28,30,
NO,2,5,8,6,
