開始時刻,（Attention) このアクティビティの内容に興味を持てましたか？,（Relevance）このアクティビィティの内容は親しみやすいものでしたか？  または将来何かに使えそうな感じがしますか？,（Confidence）このアクティビィティは簡単でしたか？,（Satisfaction）このアクティビィティをやり遂げたことで達成感は得られましたか？,"(任意) コメント等を自由に記入して下さい。

(注) コメントは個人が特定されるもの等を除き原則Webで公開されます。もし公開されたくない場合はコメントの後ろに (非公開) と書いて下さい。"
1/30/18 14:21:21,YES,YES,YES,YES,
1/30/18 14:21:40,NO,YES,YES,YES,
1/30/18 14:21:29,YES,YES,YES,YES,出来ました( ･´ｰ･｀)
1/30/18 14:29:21,YES,YES,NO,YES,
1/30/18 14:29:20,YES,YES,YES,YES,
1/30/18 14:29:01,YES,YES,YES,YES,('　・　ω　・　`)
1/30/18 14:29:29,YES,YES,YES,YES,
1/30/18 14:29:49,YES,YES,NO,YES,
1/30/18 14:30:08,YES,YES,YES,YES,
1/30/18 14:32:00,YES,YES,YES,YES,"き　プ　全　何
ず　ロ　角　気
つ　グ　ス　な
け　ラ　ペ　い
た　マ　｜
　　を　ス
　　　　が"
1/30/18 14:32:22,YES,YES,YES,YES,
1/30/18 14:32:21,YES,YES,YES,YES,
1/30/18 14:32:24,YES,YES,YES,YES,
1/30/18 14:29:03,YES,YES,YES,YES,/ ・ω・)/
1/30/18 14:32:47,YES,YES,YES,YES,
1/30/18 14:29:11,YES,YES,YES,YES,"何気ない
音声が
僕の心を
傷つけた"
1/30/18 14:38:26,YES,YES,YES,NO,
1/30/18 14:38:28,YES,YES,NO,YES,
1/30/18 14:39:05,YES,YES,YES,YES,いままでで一番楽しいパートでした(╹◡╹) 
1/30/18 14:43:02,YES,YES,NO,YES,
2/13/18 13:23:16,YES,YES,YES,YES,
2/13/18 13:35:31,YES,YES,YES,YES,
2/13/18 13:35:39,YES,YES,YES,YES,
2/13/18 13:35:39,YES,YES,YES,YES,
2/13/18 13:35:38,YES,YES,YES,YES,
2/13/18 13:35:36,NO,NO,NO,YES,
2/13/18 13:38:27,YES,NO,NO,YES,
2/13/18 13:38:55,YES,YES,YES,YES,テストがなかったので気楽にできました。
2/13/18 13:38:24,YES,NO,YES,YES,
2/13/18 13:41:50,YES,YES,YES,YES,
2/13/18 13:42:09,YES,YES,YES,YES,
2/13/18 13:42:19,YES,YES,YES,YES,
2/13/18 13:41:48,YES,YES,YES,YES,PS4とモンハンがほしい
2/13/18 13:43:11,YES,YES,YES,YES,たのしかった
2/13/18 13:43:45,YES,YES,NO,YES,
2/13/18 13:43:54,YES,YES,YES,YES,
2/13/18 13:41:29,YES,YES,YES,YES,
2/13/18 13:54:04,YES,YES,YES,YES,
2/13/18 13:54:09,YES,YES,YES,YES,
2/13/18 13:55:41,YES,YES,YES,YES,
2/13/18 13:56:01,YES,YES,NO,YES,
2/13/18 13:57:20,YES,YES,YES,YES,
2/13/18 13:58:04,NO,NO,NO,NO,
2/13/18 13:58:22,NO,NO,NO,NO,
,,,,,
YES,40,39,34,41,
NO,4,5,10,3,
