開始時刻,（Attention) このアクティビティの内容に興味を持てましたか？,（Relevance）このアクティビィティの内容は親しみやすいものでしたか？  または将来何かに使えそうな感じがしますか？,（Confidence）このアクティビィティは簡単でしたか？,（Satisfaction）このアクティビィティをやり遂げたことで達成感は得られましたか？,"(任意) コメント等を自由に記入して下さい。

(注) コメントは個人が特定されるもの等を除き原則Webで公開されます。もし公開されたくない場合はコメントの後ろに (非公開) と書いて下さい。"
2/14/18 11:35:00,YES,YES,NO,YES,
2/14/18 11:35:14,NO,NO,YES,NO,
2/14/18 11:37:26,YES,YES,YES,YES,
2/14/18 11:37:33,YES,NO,YES,YES,
2/14/18 11:37:48,YES,YES,YES,YES,
2/14/18 11:38:34,YES,YES,YES,YES,
2/14/18 11:38:34,YES,YES,YES,NO,
2/14/18 11:38:52,YES,YES,YES,YES,
2/14/18 11:38:56,YES,YES,NO,YES,otukaresamadesita
2/14/18 11:38:27,YES,YES,YES,YES,
2/14/18 11:40:52,YES,YES,YES,YES,(非公開)
2/14/18 11:41:14,YES,YES,YES,YES,
2/14/18 11:41:34,YES,YES,YES,YES,
2/14/18 11:42:23,YES,YES,NO,YES,
2/14/18 11:42:15,NO,YES,YES,YES,
2/14/18 11:43:42,YES,YES,YES,YES,
2/14/18 11:43:26,YES,YES,YES,YES,(非公開)
2/14/18 11:48:48,YES,YES,YES,YES,
,,,,,
YES,16,16,15,16,
NO,2,2,3,2,
