開始時刻,（Attention) このアクティビティの内容に興味を持てましたか？,（Relevance）このアクティビィティの内容は親しみやすいものでしたか？  または将来何かに使えそうな感じがしますか？,（Confidence）このアクティビィティは簡単でしたか？,（Satisfaction）このアクティビィティをやり遂げたことで達成感は得られましたか？,"(任意) コメント等を自由に記入して下さい。

(注) コメントは個人が特定されるもの等を除き原則Webで公開されます。もし公開されたくない場合はコメントの後ろに (非公開) と書いて下さい。"
11/6/17 11:29:15,YES,YES,YES,YES,
11/6/17 11:28:30,YES,YES,YES,YES,
11/6/17 11:28:27,YES,YES,NO,YES, 
11/6/17 11:28:15,YES,YES,NO,YES,
11/6/17 11:28:28,NO,NO,NO,NO,(非公開)
11/6/17 11:28:52,NO,YES,NO,NO,(非公開)
11/6/17 11:28:34,NO,YES,YES,YES,
11/6/17 11:28:18,NO,NO,NO,NO,すごかった
11/6/17 11:28:53,NO,YES,YES,NO,
11/6/17 11:28:31,NO,NO,YES,NO,
11/6/17 11:28:27,YES,NO,YES,NO,
11/6/17 11:28:34,YES,YES,YES,NO,
11/6/17 11:28:38,YES,YES,YES,YES,
11/6/17 11:28:49,YES,YES,YES,YES,
11/6/17 11:28:50,YES,YES,YES,YES,コメント
11/6/17 11:29:17,YES,YES,YES,YES,
11/6/17 11:29:08,NO,YES,YES,NO,
11/6/17 11:28:34,YES,YES,YES,NO,
11/6/17 11:29:03,NO,NO,YES,YES,(非公開)
11/6/17 11:29:25,YES,YES,YES,YES,熱盛
11/6/17 11:28:39,YES,YES,YES,YES,とてもよくりかいできた
11/6/17 11:28:19,YES,YES,YES,YES,
11/6/17 11:29:51,YES,YES,YES,YES,
11/6/17 11:29:00,NO,NO,NO,YES,
11/6/17 11:28:30,NO,YES,YES,YES,(非公開)
11/6/17 11:28:39,YES,YES,YES,YES,
11/6/17 11:28:40,NO,NO,NO,NO,テスト２択でお願いします
11/6/17 11:31:29,YES,YES,YES,YES,ばなな
,,,,,
YES,17,21,21,18,
NO,11,7,7,10,
