開始時刻,（Attention) このアクティビティの内容に興味を持てましたか？,（Relevance）このアクティビィティの内容は親しみやすいものでしたか？  または将来何かに使えそうな感じがしますか？,（Confidence）このアクティビィティは簡単でしたか？,（Satisfaction）このアクティビィティをやり遂げたことで達成感は得られましたか？,"(任意) コメント等を自由に記入して下さい。

(注) コメントは個人が特定されるもの等を除き原則Webで公開されます。もし公開されたくない場合はコメントの後ろに (非公開) と書いて下さい。"
11/14/17 14:10:26,NO,NO,NO,NO,
11/14/17 14:10:22,YES,YES,YES,YES,
11/14/17 14:10:27,YES,YES,YES,YES,
11/14/17 14:10:16,YES,YES,NO,YES,
11/14/17 14:10:24,NO,NO,NO,NO,
11/14/17 14:10:23,NO,NO,NO,YES,
11/14/17 14:10:39,YES,YES,YES,YES,
11/14/17 14:10:21,YES,YES,YES,YES,
11/14/17 14:10:18,YES,YES,YES,YES,
11/14/17 14:10:35,YES,YES,YES,YES,
11/14/17 14:10:20,YES,YES,NO,NO,
11/14/17 14:10:27,YES,YES,YES,YES,
11/14/17 14:10:53,YES,YES,NO,YES,
11/14/17 14:10:26,YES,YES,YES,YES,('・ω・`)
11/14/17 14:10:59,YES,YES,YES,YES,
11/14/17 14:11:09,YES,YES,YES,YES,
11/14/17 14:11:02,YES,YES,YES,NO,
11/14/17 14:10:17,YES,YES,YES,YES,
11/14/17 14:11:32,NO,NO,YES,YES,
11/14/17 14:10:15,YES,YES,YES,YES,
11/14/17 14:10:37,YES,YES,NO,NO,
11/14/17 14:10:28,YES,YES,NO,YES,( ・`ω・´)
11/14/17 14:11:42,YES,YES,YES,YES,
11/14/17 14:11:44,YES,YES,YES,YES,
11/14/17 14:11:47,NO,NO,NO,NO,
11/14/17 14:11:45,YES,YES,NO,YES,
11/14/17 14:10:20,YES,YES,YES,YES,
11/14/17 14:11:11,NO,YES,YES,NO,Enter your answer
11/14/17 14:11:13,YES,YES,YES,YES,
11/14/17 14:12:14,YES,YES,NO,YES,
11/14/17 14:10:57,YES,NO,NO,NO,
11/14/17 14:11:03,NO,NO,NO,NO,(非公開)
11/14/17 14:11:35,YES,YES,NO,YES,(非公開)
11/14/17 14:10:26,YES,YES,YES,YES,
11/14/17 14:10:28,NO,NO,NO,NO,GAJIRA
11/14/17 14:11:06,YES,YES,NO,YES,(非公開)
11/14/17 14:11:13,YES,NO,YES,YES,
11/14/17 14:11:18,NO,NO,NO,NO,"ｳﾆｬｧｧﾝｽﾞｳｪｪｲ
"
11/14/17 14:13:32,YES,YES,YES,YES,あ
,,,,,
YES,30,29,22,28,
NO,9,10,17,11,
