開始時刻,（Attention) このアクティビティの内容に興味を持てましたか？,（Relevance）このアクティビィティの内容は親しみやすいものでしたか？  または将来何かに使えそうな感じがしますか？,（Confidence）このアクティビィティは簡単でしたか？,（Satisfaction）このアクティビィティをやり遂げたことで達成感は得られましたか？,"(任意) コメント等を自由に記入して下さい。

(注) コメントは個人が特定されるもの等を除き原則Webで公開されます。もし公開されたくない場合はコメントの後ろに (非公開) と書いて下さい。"
11/27/17 9:39:30,NO,NO,NO,NO,
11/27/17 9:39:30,YES,YES,YES,YES,
11/27/17 9:39:36,YES,YES,YES,YES,
11/27/17 9:39:34,YES,YES,YES,YES,
11/27/17 9:39:35,NO,YES,YES,YES,
11/27/17 9:39:37,NO,NO,NO,NO,
11/27/17 9:39:37,YES,YES,NO,YES,
11/27/17 9:39:42,YES,YES,YES,YES,
11/27/17 9:39:39,YES,YES,YES,YES,
11/27/17 9:39:43,YES,YES,YES,YES,
11/27/17 9:39:38,YES,YES,YES,YES,
11/27/17 9:39:53,YES,YES,YES,YES,
11/27/17 9:39:51,YES,YES,NO,YES,
11/27/17 9:39:56,YES,YES,NO,YES,
11/27/17 9:39:34,YES,YES,YES,YES,
11/27/17 9:39:50,YES,YES,YES,YES,a
11/27/17 9:39:59,NO,NO,NO,NO,
11/27/17 9:40:07,YES,YES,YES,YES,
11/27/17 9:39:43,NO,NO,NO,NO,
11/27/17 9:40:03,NO,NO,NO,NO,
11/27/17 9:39:40,YES,YES,YES,YES,おはようございます
11/27/17 9:40:01,NO,YES,YES,YES,
11/27/17 9:40:02,YES,YES,NO,YES,
11/27/17 9:40:18,NO,NO,NO,NO,
11/27/17 9:40:17,YES,YES,NO,YES,
11/27/17 9:39:33,NO,NO,YES,YES,5000兆円欲しい
11/27/17 9:40:01,YES,YES,YES,YES,
11/27/17 9:40:31,YES,NO,YES,NO,
11/27/17 9:39:52,NO,NO,YES,YES,今回は点数が良かったです。この前の挽回ができました。
11/27/17 9:40:38,YES,YES,YES,YES,
11/27/17 9:39:46,YES,YES,YES,YES,
11/27/17 9:40:20,YES,NO,YES,NO,
11/27/17 9:39:42,YES,YES,YES,YES,('・ω・`)
11/27/17 9:39:42,NO,NO,NO,NO,情報理論の勉強したい
11/27/17 9:40:43,YES,YES,YES,YES,
11/27/17 9:39:34,YES,YES,YES,YES,
11/27/17 9:40:18,NO,YES,YES,YES,＾ω＾
11/27/17 9:39:37,YES,YES,YES,YES,
11/27/17 9:39:41,NO,NO,NO,NO,テスト難しすぎて詰みました。次からもっと簡単にしてくださいお願いします
11/27/17 9:41:15,YES,YES,YES,YES,
11/27/17 9:41:16,YES,YES,YES,YES,
11/27/17 9:39:41,YES,YES,YES,YES,
11/27/17 9:40:50,YES,YES,YES,YES,アンケート、更新したら二回目送れるんですかね？テスト
11/27/17 9:41:29,YES,NO,YES,YES,
,,,,,
YES,31,31,31,34,
NO,13,13,13,10,
