開始時刻,（Attention) このアクティビティの内容に興味を持てましたか？,（Relevance）このアクティビィティの内容は親しみやすいものでしたか？  または将来何かに使えそうな感じがしますか？,（Confidence）このアクティビィティは簡単でしたか？,（Satisfaction）このアクティビィティをやり遂げたことで達成感は得られましたか？,"(任意) コメント等を自由に記入して下さい。

(注) コメントは個人が特定されるもの等を除き原則Webで公開されます。もし公開されたくない場合はコメントの後ろに (非公開) と書いて下さい。"
10/20/17 10:21:21,YES,YES,YES,YES,
10/20/17 10:21:02,NO,YES,YES,YES,
10/20/17 10:21:05,YES,YES,YES,YES,
10/20/17 10:21:19,YES,YES,YES,YES,"巻き戻し、HEADの関係が図を通して理解しやすかった。
ブランチの扱い方をもっと教えて欲しかった。"
10/20/17 10:22:02,YES,YES,YES,YES,
10/20/17 10:22:12,YES,YES,YES,YES,
10/20/17 10:22:21,YES,YES,YES,YES,
10/20/17 10:21:49,NO,YES,NO,NO,
10/20/17 10:22:22,YES,YES,YES,NO,
10/20/17 10:21:04,YES,YES,YES,YES,
10/20/17 10:21:35,YES,YES,YES,YES,"グループでプログラム開発をする際、各々の進捗を共有するのに便利なツールだと思った。
今後も使う機会はあるはずだから、今日学んだことを忘れないよう活用していきたい。"
10/20/17 10:21:20,YES,YES,YES,YES,"Aさんがいない（班メンバーが一人でもいない）と、演習が進まなかった。
もし自分が授業に出れない場合はgithubのIDとパスワードを班メンバーに渡すといいと思いました。"
10/20/17 10:21:58,YES,YES,YES,YES,
10/20/17 10:21:35,NO,NO,YES,YES,
10/20/17 10:21:28,YES,YES,YES,YES,
10/20/17 10:22:07,YES,YES,YES,YES,
10/20/17 10:21:22,YES,NO,YES,YES,
10/20/17 10:21:08,YES,YES,YES,YES,
10/20/17 10:20:54,YES,YES,YES,YES,
10/20/17 10:22:29,YES,YES,YES,YES,
10/20/17 10:21:03,YES,YES,YES,YES,
10/20/17 10:21:06,YES,YES,YES,YES,
10/20/17 10:21:38,NO,NO,NO,YES,
10/20/17 10:21:25,YES,YES,NO,YES,
10/20/17 10:20:51,YES,YES,YES,YES,
10/20/17 10:21:02,YES,YES,NO,YES,
10/20/17 10:21:50,YES,YES,NO,NO,まだコマンドは覚えきれていないので、覚えられるように家でもテキストを確認したい
10/20/17 10:24:08,YES,YES,YES,YES,
10/20/17 10:24:04,YES,NO,YES,YES,
10/20/17 10:21:41,YES,YES,YES,YES,
10/20/17 10:24:48,YES,YES,YES,YES,
10/20/17 10:25:48,YES,YES,NO,YES,
10/20/17 10:21:23,YES,YES,NO,YES,"都合上、多少しかたのないこともあるが、グループで最初にやる人(A)の負担が大きい。
また、gitはあまり使い慣れない人が多いので、もう少し説明が欲しい。"
,,,,,
YES,29,29,26,30,
NO,4,4,7,3,
