開始時刻,（Attention) このアクティビティの内容に興味を持てましたか？,（Relevance）このアクティビィティの内容は親しみやすいものでしたか？  または将来何かに使えそうな感じがしますか？,（Confidence）このアクティビィティは簡単でしたか？,（Satisfaction）このアクティビィティをやり遂げたことで達成感は得られましたか？,"(任意) コメント等を自由に記入して下さい。

(注) コメントは個人が特定されるもの等を除き原則Webで公開されます。もし公開されたくない場合はコメントの後ろに (非公開) と書いて下さい。"
5/25/17 10:31:51,YES,YES,YES,YES,
5/25/17 10:31:56,YES,YES,YES,YES,
5/25/17 10:31:47,YES,YES,YES,YES,
5/25/17 10:32:23,YES,YES,YES,YES,
5/25/17 10:32:31,YES,YES,YES,YES,
5/25/17 10:32:06,YES,YES,YES,YES,Extendsが急に出てきてびっくりした
5/25/17 10:32:46,YES,YES,YES,YES,テスト簡単にしてください
5/25/17 10:31:37,YES,YES,NO,YES,
5/25/17 10:33:04,YES,YES,YES,YES,
5/25/17 10:32:35,YES,YES,YES,YES,
5/25/17 10:33:11,YES,YES,YES,YES,
5/25/17 10:32:11,YES,YES,NO,YES,
5/25/17 10:32:25,YES,YES,NO,YES,
5/25/17 10:33:24,YES,YES,YES,YES,
5/25/17 10:32:22,YES,YES,NO,NO,
5/25/17 10:33:35,YES,YES,YES,YES,
5/25/17 10:33:36,YES,YES,YES,YES,
5/25/17 10:32:18,YES,YES,YES,YES,(´・ω・｀)(´・ω・｀)
5/25/17 10:33:10,YES,YES,NO,NO,
5/25/17 10:31:51,YES,YES,YES,YES,OneNote提出はよい選択だと思う
5/25/17 10:31:45,YES,YES,NO,YES,
5/25/17 10:31:49,YES,YES,YES,YES,
5/25/17 10:32:59,YES,YES,YES,YES,
5/25/17 10:31:54,YES,YES,YES,YES,
5/25/17 10:32:27,YES,YES,NO,YES,
5/25/17 10:31:56,YES,YES,YES,YES,
5/25/17 10:31:56,YES,YES,YES,YES,
5/25/17 10:31:44,YES,YES,NO,YES,
5/25/17 10:34:28,YES,YES,YES,NO,"先生頑張ってるなって思います！
頑張ってください！！"
5/25/17 10:33:10,YES,YES,YES,YES,
YES,30,30,22,27,
NO,0,0,8,3,
