開始時刻,（Attention) このアクティビティの内容に興味を持てましたか？,（Relevance）このアクティビィティの内容は親しみやすいものでしたか？  または将来何かに使えそうな感じがしますか？,（Confidence）このアクティビィティは簡単でしたか？,（Satisfaction）このアクティビィティをやり遂げたことで達成感は得られましたか？,"(任意) コメント等を自由に記入して下さい。

(注) コメントは個人が特定されるもの等を除き原則Webで公開されます。もし公開されたくない場合はコメントの後ろに (非公開) と書いて下さい。"
6/15/17 10:13:35,YES,YES,YES,YES,
6/15/17 10:14:09,YES,YES,NO,YES,
6/15/17 10:14:06,YES,NO,NO,NO,追いつけなくなってきました
6/15/17 10:17:53,YES,YES,YES,YES,
6/15/17 10:17:51,YES,YES,YES,YES,
6/15/17 10:23:20,YES,YES,YES,YES,
6/15/17 10:23:27,YES,YES,YES,YES,
6/15/17 10:23:55,YES,YES,NO,YES,
6/15/17 10:24:20,YES,YES,YES,YES,
6/15/17 10:22:52,YES,YES,YES,YES,(´・ω・｀)
6/15/17 10:24:18,YES,YES,NO,NO,
6/15/17 10:24:44,YES,YES,NO,YES,
6/15/17 10:24:50,YES,YES,YES,YES,
6/15/17 10:24:04,YES,YES,NO,YES,(*^◯^*) 
6/15/17 10:24:53,YES,YES,YES,YES,
6/15/17 10:25:07,YES,YES,YES,YES,
6/15/17 10:26:03,YES,YES,NO,YES,
6/15/17 10:25:55,YES,YES,YES,YES,楽しくなってきた
6/15/17 10:26:19,YES,YES,YES,YES,
6/15/17 10:27:11,YES,YES,NO,YES,
6/15/17 10:27:26,YES,YES,YES,YES,
6/15/17 10:27:54,YES,YES,NO,YES,
6/15/17 10:28:57,YES,YES,YES,YES,
6/15/17 10:29:35,YES,YES,NO,YES,
6/15/17 10:30:06,YES,YES,YES,YES,
6/15/17 10:30:27,YES,YES,YES,YES,
6/15/17 10:32:56,YES,YES,NO,YES,
,,,,,
YES,27,26,16,25,
NO,0,1,11,2,
