開始時刻,（Attention) このアクティビティの内容に興味を持てましたか？,（Relevance）このアクティビィティの内容は親しみやすいものでしたか？  または将来何かに使えそうな感じがしますか？,（Confidence）このアクティビィティは簡単でしたか？,（Satisfaction）このアクティビィティをやり遂げたことで達成感は得られましたか？,"(任意) コメント等を自由に記入して下さい。

(注) コメントは個人が特定されるもの等を除き原則Webで公開されます。もし公開されたくない場合はコメントの後ろに (非公開) と書いて下さい。"
2/21/18 10:27:46,YES,YES,YES,YES,
2/21/18 10:27:58,YES,YES,NO,YES,
2/21/18 10:27:34,YES,YES,YES,YES,
2/21/18 10:28:16,YES,YES,YES,YES,
2/21/18 10:28:19,YES,YES,YES,YES,
2/21/18 10:28:03,YES,YES,YES,YES,
2/21/18 10:28:27,YES,YES,YES,YES,
2/21/18 10:28:23,YES,YES,YES,YES,
2/21/18 10:28:32,YES,YES,YES,YES,
2/21/18 10:28:31,YES,YES,YES,YES,
2/21/18 10:28:22,YES,YES,YES,YES,
2/21/18 10:28:37,YES,YES,YES,YES,
2/21/18 10:28:48,YES,YES,NO,YES,
2/21/18 10:28:13,YES,YES,YES,YES,
2/21/18 10:29:19,YES,YES,YES,YES,
2/21/18 10:29:22,YES,YES,YES,YES,
2/21/18 10:29:38,YES,YES,NO,YES,
2/21/18 10:28:53,YES,YES,YES,YES,素人が作ったゲームでしか味わえない楽しみがあった。
2/21/18 10:29:54,YES,YES,YES,YES,
2/21/18 10:28:04,YES,YES,YES,YES,
2/21/18 10:30:30,YES,YES,NO,YES,
2/21/18 10:30:40,YES,YES,YES,YES,
2/21/18 10:30:43,YES,YES,YES,YES,
2/21/18 10:31:01,YES,YES,YES,YES,
2/21/18 10:31:31,YES,YES,YES,YES,
2/21/18 10:31:28,YES,YES,YES,YES,
2/21/18 10:31:26,YES,YES,YES,YES,お疲れ様でした。
2/21/18 10:30:12,YES,YES,YES,YES,
2/21/18 10:32:41,YES,YES,NO,YES,
2/21/18 10:33:21,YES,YES,NO,YES,
,,,,,
YES,30,30,24,30,
NO,0,0,6,0,
