開始時刻,（Attention) このアクティビティの内容に興味を持てましたか？,（Relevance）このアクティビィティの内容は親しみやすいものでしたか？  または将来何かに使えそうな感じがしますか？,（Confidence）このアクティビィティは簡単でしたか？,（Satisfaction）このアクティビィティをやり遂げたことで達成感は得られましたか？,"(任意) コメント等を自由に記入して下さい。

(注) コメントは個人が特定されるもの等を除き原則Webで公開されます。もし公開されたくない場合はコメントの後ろに (非公開) と書いて下さい。"
1/15/18 10:57:44,YES,YES,NO,NO,
1/15/18 10:57:45,YES,YES,NO,NO,プログラムが難しかった.
1/15/18 10:58:19,YES,YES,NO,YES,
1/15/18 10:58:06,NO,NO,NO,NO,
1/15/18 11:18:32,YES,YES,YES,YES,
1/15/18 11:19:04,YES,YES,YES,YES,
1/15/18 11:19:28,YES,YES,NO,YES,
1/15/18 11:20:19,NO,NO,NO,NO,
1/15/18 11:20:01,YES,YES,YES,YES,akemasiteomedetougozaimasu
1/15/18 11:24:14,YES,YES,YES,YES,
1/15/18 11:25:53,YES,YES,YES,YES,
1/15/18 11:25:45,YES,YES,YES,NO,
1/15/18 11:28:56,YES,NO,YES,YES,プログラムは難しいんだなぁ
1/15/18 11:30:31,YES,YES,YES,YES,
1/15/18 11:31:02,YES,YES,YES,YES,
1/15/18 11:33:00,YES,YES,YES,YES,
1/15/18 11:53:45,YES,YES,YES,YES,
1/15/18 11:53:52,YES,YES,YES,YES,(非公開)
1/15/18 12:09:41,YES,YES,YES,YES,
1/15/18 12:19:10,YES,YES,YES,YES,
1/15/18 12:19:22,YES,YES,NO,YES,
,,,,,
YES,19,18,14,16,
NO,2,3,7,5,
