開始時刻,（Attention) このアクティビティの内容に興味を持てましたか？,（Relevance）このアクティビィティの内容は親しみやすいものでしたか？  または将来何かに使えそうな感じがしますか？,（Confidence）このアクティビィティは簡単でしたか？,（Satisfaction）このアクティビィティをやり遂げたことで達成感は得られましたか？,"(任意) コメント等を自由に記入して下さい。

(注) コメントは個人が特定されるもの等を除き原則Webで公開されます。もし公開されたくない場合はコメントの後ろに (非公開) と書いて下さい。"
11/17/17 9:19:02,YES,YES,NO,YES,
11/17/17 9:18:55,YES,YES,YES,YES,
11/17/17 9:19:02,YES,YES,YES,YES,
11/17/17 9:19:17,YES,YES,YES,YES,
11/17/17 9:19:01,YES,YES,YES,YES,
11/17/17 9:19:07,YES,YES,YES,YES,
11/17/17 9:19:08,YES,YES,NO,YES,
11/17/17 9:19:12,YES,YES,NO,YES,
11/17/17 9:19:21,YES,YES,YES,YES,
11/17/17 9:19:04,YES,YES,YES,YES,
11/17/17 9:19:03,YES,YES,NO,YES,
11/17/17 9:19:21,YES,YES,YES,YES,
11/17/17 9:19:19,YES,YES,NO,YES,
11/17/17 9:19:03,YES,YES,YES,NO,
11/17/17 9:19:22,YES,YES,YES,YES,
11/17/17 9:19:18,YES,YES,NO,YES,
11/17/17 9:19:30,YES,YES,YES,YES,
11/17/17 9:19:30,NO,YES,YES,NO,
11/17/17 9:19:00,YES,YES,NO,YES,
11/17/17 9:19:39,YES,YES,NO,NO,
11/17/17 9:19:37,YES,YES,YES,YES,
11/17/17 9:19:04,YES,YES,YES,YES,
11/17/17 9:19:50,YES,YES,YES,YES,
11/17/17 9:19:09,YES,YES,YES,YES,
11/17/17 9:19:54,YES,YES,YES,YES,
11/17/17 9:19:05,YES,YES,YES,YES,たのしかったです
11/17/17 9:20:01,YES,YES,YES,YES,
11/17/17 9:19:21,YES,YES,YES,YES,未だにクリティカルパス？がよくわからない
11/17/17 9:20:00,YES,YES,YES,YES,
11/17/17 9:19:01,YES,YES,NO,YES,
,,,,,
YES,29,30,21,27,
NO,1,0,9,3,
